ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7598,0.13,0.7,0.01,0.37,1.21
101,0.03,0,0,0,0.03
14852,0.03,0,0,0,0.03
16457,0.17,0.4,0,0.14,0.71
13661,0.1,0.02,0,0.01,0.13
14122,0.03,1.06,0,0.09,1.17
18427,0,0,0.05,0,0.05
8503,0,0.14,0,0.02,0.16
4937,0.18,0.12,0.04,0.04,0.37
8081,0.06,0,0,0,0.07
9938,0,0,0.03,0,0.03
5424,0.95,0.64,0.27,0.13,1.99
15109,0.02,0,0,0,0.03
3153,0.07,0.14,0,0.04,0.25
7958,0.1,0.07,0,0.01,0.18
13476,0,0.32,0,0.07,0.39
150,0,0,0.02,0,0.02
16804,0.61,0.42,0.13,0.1,1.26
4569,0.06,0.02,0,0,0.08
3442,0,0,0.3,0.02,0.32
12017,0,0.25,0,0.04,0.29
6097,0.11,0.06,0,0.02,0.18
13795,0.12,0,0,0.01,0.13
17401,0.1,0.08,0,0.03,0.2
10297,0,0,0.22,0,0.22
8734,0.1,0,0,0.01,0.11
15483,0.14,0.1,0,0.02,0.25
17279,0,0,0.01,0,0.01
4945,0.13,0.02,0,0.01,0.15
2299,0.09,0,0,0.01,0.1
17012,0,0,0.01,0,0.01
14982,0.25,0.19,0,0.06,0.5
1426,0.06,0.04,0,0.01,0.11
6193,0.58,0.17,0,0.07,0.83
4859,0.08,0,0,0.01,0.09
6959,0.15,0.04,0,0.01,0.2
19605,0.08,0.03,0,0.02,0.13
12348,0,0,0.05,0,0.05
16398,0.11,0.03,0,0,0.14
8346,2.64,1.2,0.03,0.39,4.26
11452,0.06,0.02,0,0.01,0.09
13807,0.05,0.02,0.02,0.01,0.1
12358,0.07,0.05,0,0.01,0.13
19999,0.52,0.01,0.12,0.05,0.7
2330,0,0,0.2,0,0.2
16091,0,0.01,0,0,0.02
13767,0.13,0.04,0,0.01,0.17
9529,0.02,0,0,0,0.03
8912,0.2,0.16,0,0.05,0.41
9341,0.04,0,0,0,0.05
18767,0.5,0.39,0,0.13,1.03
13397,0.16,0.01,0.03,0.02,0.22
4142,1.13,2.07,0,0.22,3.42
18540,0,0.02,0,0,0.02
4205,0,0,0.56,0.04,0.59
4920,0.07,0,0.06,0.01,0.14
1446,1.08,0.31,0,0.11,1.5
9874,0.68,0.9,0.01,0.17,1.76
5259,0.2,0,0,0.02,0.22
5159,0.27,0.01,0,0.02,0.31
4709,0.37,0.11,0,0.02,0.51
10831,0.72,0.89,0.04,0.1,1.74
1696,0.33,0.21,0,0.05,0.59
15309,0.05,0.01,0,0,0.06
15888,1.75,0.25,0,0.05,2.05
19061,0.06,0,0,0,0.07
9634,0,0,0.03,0,0.03
14703,0.18,0.16,0,0.05,0.39
6974,0,0.32,0,0.03,0.36
17379,0.11,0.04,0,0.01,0.16
8497,0.01,0,0,0,0.01
17898,0,0,0.02,0,0.02
16970,0.15,0.1,0.41,0.05,0.71
17732,0.28,0.03,0.17,0.03,0.51
17169,0.03,0,0,0,0.03
19660,0.21,0.09,0,0.03,0.33
7200,2.55,3.52,5.33,0.88,12.27
10980,0.08,0.06,0,0.02,0.16
6618,0,0,0.12,0,0.12
10365,0,0,0.13,0.01,0.14
7453,0.03,0.01,0,0,0.04
10847,0.23,0.18,0,0.06,0.46
18680,0.06,0,0,0,0.07
16573,0,0.16,0,0.02,0.19
14329,0.03,0,0,0,0.04
15488,0.47,0.32,0,0.08,0.87
16546,0.09,0.02,0,0,0.11
15513,0,1.04,0,0.31,1.35
6608,0,0,0.1,0,0.1
5178,0.16,0.17,0.13,0.03,0.49
7698,0,0.02,0,0.01,0.03
9393,0.41,0,0,0.02,0.44
8588,0.11,0.06,0.01,0.02,0.19
2763,0.35,0.21,0,0.05,0.61
10903,0,0,0.22,0,0.22
10470,0.08,0.29,0,0.16,0.53
2369,1.06,0.6,0.2,0.07,1.93
9497,0.38,0.01,0,0.06,0.45
13062,0.05,0.03,0.12,0.01,0.22
5554,1.66,1.58,0.12,0.18,3.54
5557,0,0,0.08,0,0.08
11787,0.25,0.09,0.3,0.01,0.65
19876,0.05,0.09,0,0.02,0.16
15615,0.05,0.04,0,0.01,0.1
6528,0.54,0,0.01,0.03,0.59
16986,4,0.26,0,0.05,4.31
9517,0.07,0.08,0.03,0.01,0.2
15295,0.01,0,0,0,0.01
12116,0.31,0.89,0.01,0.14,1.35
