hour,area,temperature,precipitation
1,東京,25.7,0
2,東京,25.5,0
3,東京,25.5,0
4,東京,25.7,0
5,東京,25.6,0
6,東京,25.8,0
7,東京,28,0
8,東京,28.4,0
9,東京,29.7,0
10,東京,30.3,0
11,東京,31.3,0
12,東京,31.6,0
13,東京,31.8,0
14,東京,32.2,0
15,東京,31.7,0
16,東京,30.6,0
17,東京,30.2,0
18,東京,28.6,0
19,東京,27.8,0
20,東京,27.1,0
21,東京,26.7,0
22,東京,26.3,0
23,東京,25.9,0
24,東京,25.9,0
